00:00:00.042988 Send to PLC Delay Applied, 50 ms
00:03:18.943874 Send to PLC Delay Applied, 50 ms
00:03:19.475472 Send to PLC Delay Applied, 50 ms
00:03:20.005228 Send to PLC Delay Applied, 50 ms
00:03:20.544804 Send to PLC Delay Applied, 50 ms
00:03:21.070160 Send to PLC Delay Applied, 50 ms
00:03:21.122063 Send to PLC Delay Applied, 50 ms
00:03:21.605810 Send to PLC Delay Applied, 50 ms
00:03:22.130592 Send to PLC Delay Applied, 50 ms
00:03:22.665036 Send to PLC Delay Applied, 50 ms
00:03:23.195727 Send to PLC Delay Applied, 50 ms
00:03:23.246349 Send to PLC Delay Applied, 50 ms
00:03:23.725103 Send to PLC Delay Applied, 50 ms
00:03:23.776955 Send to PLC Delay Applied, 50 ms
00:03:24.257699 Send to PLC Delay Applied, 50 ms
00:03:24.789239 Send to PLC Delay Applied, 50 ms
00:03:24.842391 Send to PLC Delay Applied, 50 ms
00:03:25.325856 Send to PLC Delay Applied, 50 ms
00:03:25.375783 Send to PLC Delay Applied, 50 ms
00:03:25.854398 Send to PLC Delay Applied, 50 ms
00:03:25.904480 Send to PLC Delay Applied, 50 ms
00:03:26.385170 Send to PLC Delay Applied, 50 ms
00:03:26.435829 Send to PLC Delay Applied, 50 ms
00:03:26.921701 Send to PLC Delay Applied, 50 ms
00:03:27.458198 Send to PLC Delay Applied, 50 ms
00:03:27.981932 Send to PLC Delay Applied, 50 ms
00:03:28.032816 Send to PLC Delay Applied, 50 ms
00:03:28.514503 Send to PLC Delay Applied, 50 ms
00:03:29.044063 Send to PLC Delay Applied, 50 ms
00:03:29.094981 Send to PLC Delay Applied, 50 ms
00:03:29.580427 Send to PLC Delay Applied, 50 ms
00:03:30.115086 Send to PLC Delay Applied, 50 ms
00:03:30.645564 Send to PLC Delay Applied, 50 ms
00:03:30.698680 Send to PLC Delay Applied, 50 ms
00:03:31.174348 Send to PLC Delay Applied, 50 ms
00:03:31.703126 Send to PLC Delay Applied, 50 ms
00:03:31.753811 Send to PLC Delay Applied, 50 ms
00:03:32.236520 Send to PLC Delay Applied, 50 ms
00:03:32.775104 Send to PLC Delay Applied, 50 ms
00:03:32.825816 Send to PLC Delay Applied, 50 ms
00:03:33.303727 Send to PLC Delay Applied, 50 ms
00:03:33.354326 Send to PLC Delay Applied, 50 ms
00:03:33.835048 Send to PLC Delay Applied, 50 ms
00:03:34.369630 Send to PLC Delay Applied, 50 ms
00:03:34.897461 Send to PLC Delay Applied, 50 ms
00:03:34.949025 Send to PLC Delay Applied, 50 ms
00:03:35.431044 Send to PLC Delay Applied, 50 ms
00:03:35.961387 Send to PLC Delay Applied, 50 ms
00:03:36.013272 Send to PLC Delay Applied, 50 ms
00:03:36.490014 Send to PLC Delay Applied, 50 ms
00:03:36.543052 Send to PLC Delay Applied, 50 ms
00:03:37.026523 Send to PLC Delay Applied, 50 ms
00:03:37.557306 Send to PLC Delay Applied, 50 ms
00:03:37.608182 Send to PLC Delay Applied, 50 ms
00:03:38.092625 Send to PLC Delay Applied, 50 ms
00:03:38.620280 Send to PLC Delay Applied, 50 ms
00:03:39.154016 Send to PLC Delay Applied, 50 ms
00:03:39.691629 Send to PLC Delay Applied, 50 ms
00:03:40.221980 Send to PLC Delay Applied, 50 ms
00:03:40.746830 Send to PLC Delay Applied, 50 ms
00:03:41.282411 Send to PLC Delay Applied, 50 ms
00:03:41.811922 Send to PLC Delay Applied, 50 ms
00:03:41.862746 Send to PLC Delay Applied, 50 ms
00:03:42.341533 Send to PLC Delay Applied, 50 ms
00:03:42.392359 Send to PLC Delay Applied, 50 ms
00:03:42.876824 Send to PLC Delay Applied, 50 ms
00:03:42.926959 Send to PLC Delay Applied, 50 ms
00:03:43.405769 Send to PLC Delay Applied, 50 ms
00:03:43.937257 Send to PLC Delay Applied, 50 ms
00:03:44.468835 Send to PLC Delay Applied, 50 ms
00:03:44.519700 Send to PLC Delay Applied, 50 ms
00:03:45.002388 Send to PLC Delay Applied, 50 ms
00:03:45.053024 Send to PLC Delay Applied, 50 ms
00:03:45.531995 Send to PLC Delay Applied, 50 ms
00:03:46.066532 Send to PLC Delay Applied, 50 ms
00:03:46.117159 Send to PLC Delay Applied, 50 ms
00:03:46.594922 Send to PLC Delay Applied, 50 ms
00:03:46.646758 Send to PLC Delay Applied, 50 ms
00:03:47.131507 Send to PLC Delay Applied, 50 ms
00:03:47.658254 Send to PLC Delay Applied, 50 ms
00:03:48.189882 Send to PLC Delay Applied, 50 ms
00:03:48.725263 Send to PLC Delay Applied, 50 ms
00:03:48.777056 Send to PLC Delay Applied, 50 ms
00:03:49.252043 Send to PLC Delay Applied, 50 ms
00:03:49.789324 Send to PLC Delay Applied, 50 ms
00:03:49.840219 Send to PLC Delay Applied, 50 ms
00:03:50.316926 Send to PLC Delay Applied, 50 ms
00:03:50.849732 Send to PLC Delay Applied, 50 ms
00:03:51.386279 Send to PLC Delay Applied, 50 ms
00:03:51.910893 Send to PLC Delay Applied, 50 ms
00:03:52.450507 Send to PLC Delay Applied, 50 ms
00:03:52.501364 Send to PLC Delay Applied, 50 ms
00:03:52.984873 Send to PLC Delay Applied, 50 ms
00:03:53.509642 Send to PLC Delay Applied, 50 ms
00:03:53.560252 Send to PLC Delay Applied, 50 ms
00:03:54.047165 Send to PLC Delay Applied, 50 ms
00:03:54.574571 Send to PLC Delay Applied, 50 ms
00:03:54.624620 Send to PLC Delay Applied, 50 ms
00:03:55.104212 Send to PLC Delay Applied, 50 ms
00:03:55.639788 Send to PLC Delay Applied, 50 ms
00:03:55.689767 Send to PLC Delay Applied, 50 ms
00:03:56.172368 Send to PLC Delay Applied, 50 ms
00:03:56.700840 Send to PLC Delay Applied, 50 ms
00:03:57.229737 Send to PLC Delay Applied, 50 ms
00:03:57.763041 Send to PLC Delay Applied, 50 ms
00:03:58.299825 Send to PLC Delay Applied, 50 ms
00:03:58.826211 Send to PLC Delay Applied, 50 ms
00:03:58.877065 Send to PLC Delay Applied, 50 ms
00:03:59.359834 Send to PLC Delay Applied, 50 ms
00:03:59.410885 Send to PLC Delay Applied, 50 ms
00:03:59.887342 Send to PLC Delay Applied, 50 ms
00:04:00.426967 Send to PLC Delay Applied, 50 ms
00:04:00.955688 Send to PLC Delay Applied, 50 ms
00:04:01.006338 Send to PLC Delay Applied, 50 ms
00:04:01.487264 Send to PLC Delay Applied, 50 ms
00:04:02.018850 Send to PLC Delay Applied, 50 ms
00:04:02.549241 Send to PLC Delay Applied, 50 ms
00:04:03.084827 Send to PLC Delay Applied, 50 ms
00:04:03.621593 Send to PLC Delay Applied, 50 ms
00:04:04.145001 Send to PLC Delay Applied, 50 ms
00:04:04.674808 Send to PLC Delay Applied, 50 ms
00:04:05.208364 Send to PLC Delay Applied, 50 ms
00:04:05.739911 Send to PLC Delay Applied, 50 ms
00:04:05.790560 Send to PLC Delay Applied, 50 ms
00:04:06.279225 Send to PLC Delay Applied, 50 ms
00:04:06.806076 Send to PLC Delay Applied, 50 ms
00:04:07.343415 Send to PLC Delay Applied, 50 ms
00:04:07.867982 Send to PLC Delay Applied, 50 ms
00:04:08.398873 Send to PLC Delay Applied, 50 ms
00:04:08.930365 Send to PLC Delay Applied, 50 ms
00:04:09.470950 Send to PLC Delay Applied, 50 ms
00:04:09.521548 Send to PLC Delay Applied, 50 ms
00:04:09.994519 Send to PLC Delay Applied, 50 ms
00:04:10.529144 Send to PLC Delay Applied, 50 ms
00:04:11.063666 Send to PLC Delay Applied, 50 ms
00:04:11.590266 Send to PLC Delay Applied, 50 ms
00:04:11.641105 Send to PLC Delay Applied, 50 ms
00:04:12.119644 Send to PLC Delay Applied, 50 ms
00:04:12.656526 Send to PLC Delay Applied, 50 ms
00:04:13.183982 Send to PLC Delay Applied, 50 ms
00:04:13.716724 Send to PLC Delay Applied, 50 ms
00:04:14.253200 Send to PLC Delay Applied, 50 ms
00:04:14.782757 Send to PLC Delay Applied, 50 ms
00:04:15.315262 Send to PLC Delay Applied, 50 ms
00:04:15.365930 Send to PLC Delay Applied, 50 ms
00:04:15.845896 Send to PLC Delay Applied, 50 ms
00:04:15.896539 Send to PLC Delay Applied, 50 ms
00:04:16.377228 Send to PLC Delay Applied, 50 ms
00:04:16.913835 Send to PLC Delay Applied, 50 ms
00:04:17.450451 Send to PLC Delay Applied, 50 ms
00:04:17.975954 Send to PLC Delay Applied, 50 ms
00:04:18.026879 Send to PLC Delay Applied, 50 ms
00:04:18.505585 Send to PLC Delay Applied, 50 ms
00:04:19.044347 Send to PLC Delay Applied, 50 ms
00:04:19.571658 Send to PLC Delay Applied, 50 ms
00:04:20.097496 Send to PLC Delay Applied, 50 ms
00:04:20.149125 Send to PLC Delay Applied, 50 ms
00:04:20.633833 Send to PLC Delay Applied, 50 ms
00:04:20.683924 Send to PLC Delay Applied, 50 ms
00:04:21.165436 Send to PLC Delay Applied, 50 ms
00:04:21.703020 Send to PLC Delay Applied, 50 ms
00:04:22.225862 Send to PLC Delay Applied, 50 ms
00:04:22.758395 Send to PLC Delay Applied, 50 ms
00:04:22.809044 Send to PLC Delay Applied, 50 ms
00:04:23.292915 Send to PLC Delay Applied, 50 ms
00:04:23.823295 Send to PLC Delay Applied, 50 ms
00:04:24.357890 Send to PLC Delay Applied, 50 ms
00:04:24.407985 Send to PLC Delay Applied, 50 ms
00:04:24.888675 Send to PLC Delay Applied, 50 ms
00:04:25.423223 Send to PLC Delay Applied, 50 ms
00:04:25.948669 Send to PLC Delay Applied, 50 ms
00:04:26.485187 Send to PLC Delay Applied, 50 ms
00:04:27.014986 Send to PLC Delay Applied, 50 ms
00:04:27.542585 Send to PLC Delay Applied, 50 ms
00:04:28.075923 Send to PLC Delay Applied, 50 ms
00:04:28.612713 Send to PLC Delay Applied, 50 ms
00:04:29.143319 Send to PLC Delay Applied, 50 ms
00:04:29.673943 Send to PLC Delay Applied, 50 ms
00:04:30.202297 Send to PLC Delay Applied, 50 ms
00:04:30.741838 Send to PLC Delay Applied, 50 ms
00:04:31.268646 Send to PLC Delay Applied, 50 ms
00:04:31.319285 Send to PLC Delay Applied, 50 ms
00:04:31.802200 Send to PLC Delay Applied, 50 ms
00:04:32.330787 Send to PLC Delay Applied, 50 ms
00:04:32.381444 Send to PLC Delay Applied, 50 ms
00:04:32.868120 Send to PLC Delay Applied, 50 ms
00:04:33.402895 Send to PLC Delay Applied, 50 ms
00:04:33.926304 Send to PLC Delay Applied, 50 ms
00:04:33.978419 Send to PLC Delay Applied, 50 ms
00:04:34.463969 Send to PLC Delay Applied, 50 ms
00:04:34.995453 Send to PLC Delay Applied, 50 ms
00:04:35.045523 Send to PLC Delay Applied, 50 ms
00:04:35.519228 Send to PLC Delay Applied, 50 ms
00:04:36.054657 Send to PLC Delay Applied, 50 ms
00:04:36.105479 Send to PLC Delay Applied, 50 ms
00:04:36.593357 Send to PLC Delay Applied, 50 ms
00:04:36.644235 Send to PLC Delay Applied, 50 ms
00:04:37.118742 Send to PLC Delay Applied, 50 ms
00:04:37.646422 Send to PLC Delay Applied, 50 ms
00:04:38.183885 Send to PLC Delay Applied, 50 ms
00:04:38.710780 Send to PLC Delay Applied, 50 ms
00:04:38.761374 Send to PLC Delay Applied, 50 ms
00:04:39.251298 Send to PLC Delay Applied, 50 ms
00:04:39.777678 Send to PLC Delay Applied, 50 ms
00:04:40.311419 Send to PLC Delay Applied, 50 ms
00:04:40.841114 Send to PLC Delay Applied, 50 ms
00:04:41.370342 Send to PLC Delay Applied, 50 ms
00:04:41.906892 Send to PLC Delay Applied, 50 ms
00:04:42.434515 Send to PLC Delay Applied, 50 ms
00:04:42.966292 Send to PLC Delay Applied, 50 ms
00:04:43.498912 Send to PLC Delay Applied, 50 ms
00:04:44.030479 Send to PLC Delay Applied, 50 ms
00:04:44.572802 Send to PLC Delay Applied, 50 ms
00:04:44.622884 Send to PLC Delay Applied, 50 ms
00:04:45.096596 Send to PLC Delay Applied, 50 ms
00:04:45.623238 Send to PLC Delay Applied, 50 ms
00:04:46.158679 Send to PLC Delay Applied, 50 ms
00:04:46.691134 Send to PLC Delay Applied, 50 ms
00:04:46.743012 Send to PLC Delay Applied, 50 ms
00:04:47.220987 Send to PLC Delay Applied, 50 ms
00:04:47.756355 Send to PLC Delay Applied, 50 ms
00:04:48.281137 Send to PLC Delay Applied, 50 ms
00:04:48.818651 Send to PLC Delay Applied, 50 ms
00:04:48.869536 Send to PLC Delay Applied, 50 ms
00:04:49.348240 Send to PLC Delay Applied, 50 ms
00:04:49.399968 Send to PLC Delay Applied, 50 ms
00:04:49.882591 Send to PLC Delay Applied, 50 ms
00:04:50.415166 Send to PLC Delay Applied, 50 ms
00:04:50.466057 Send to PLC Delay Applied, 50 ms
00:04:50.941786 Send to PLC Delay Applied, 50 ms
00:04:51.475362 Send to PLC Delay Applied, 50 ms
00:04:52.009920 Send to PLC Delay Applied, 50 ms
00:04:52.539784 Send to PLC Delay Applied, 50 ms
00:04:53.067267 Send to PLC Delay Applied, 50 ms
00:04:53.607878 Send to PLC Delay Applied, 50 ms
00:04:54.138311 Send to PLC Delay Applied, 50 ms
00:04:54.671099 Send to PLC Delay Applied, 50 ms
00:04:55.195385 Send to PLC Delay Applied, 50 ms
00:04:55.245481 Send to PLC Delay Applied, 50 ms
00:04:55.730103 Send to PLC Delay Applied, 50 ms
00:04:55.781046 Send to PLC Delay Applied, 50 ms
00:04:56.262741 Send to PLC Delay Applied, 50 ms
00:04:56.791138 Send to PLC Delay Applied, 50 ms
00:04:57.322706 Send to PLC Delay Applied, 50 ms
00:04:57.857473 Send to PLC Delay Applied, 50 ms
00:04:58.394052 Send to PLC Delay Applied, 50 ms
00:04:58.920448 Send to PLC Delay Applied, 50 ms
00:04:59.453279 Send to PLC Delay Applied, 50 ms
00:04:59.504080 Send to PLC Delay Applied, 50 ms
00:04:59.984816 Send to PLC Delay Applied, 50 ms
00:05:00.514325 Send to PLC Delay Applied, 50 ms
00:05:01.048859 Send to PLC Delay Applied, 50 ms
00:05:01.580518 Send to PLC Delay Applied, 50 ms
00:05:02.115970 Send to PLC Delay Applied, 50 ms
00:05:02.639670 Send to PLC Delay Applied, 50 ms
00:05:03.180009 Send to PLC Delay Applied, 50 ms
00:05:03.230854 Send to PLC Delay Applied, 50 ms
00:05:03.701835 Send to PLC Delay Applied, 50 ms
00:05:04.247167 Send to PLC Delay Applied, 50 ms
00:05:04.766966 Send to PLC Delay Applied, 50 ms
00:05:04.817627 Send to PLC Delay Applied, 50 ms
00:05:05.301389 Send to PLC Delay Applied, 50 ms
00:05:05.357219 Send to PLC Delay Applied, 50 ms
00:05:05.835930 Send to PLC Delay Applied, 50 ms
00:05:06.369692 Send to PLC Delay Applied, 50 ms
00:05:06.897074 Send to PLC Delay Applied, 50 ms
00:05:07.433704 Send to PLC Delay Applied, 50 ms
00:05:07.963452 Send to PLC Delay Applied, 50 ms
00:05:08.488101 Send to PLC Delay Applied, 50 ms
00:05:08.539688 Send to PLC Delay Applied, 50 ms
00:05:09.023598 Send to PLC Delay Applied, 50 ms
00:05:09.557189 Send to PLC Delay Applied, 50 ms
00:05:10.090742 Send to PLC Delay Applied, 50 ms
00:05:10.619084 Send to PLC Delay Applied, 50 ms
00:05:11.155915 Send to PLC Delay Applied, 50 ms
00:05:11.686506 Send to PLC Delay Applied, 50 ms
00:05:12.215080 Send to PLC Delay Applied, 50 ms
00:05:12.746686 Send to PLC Delay Applied, 50 ms
00:05:12.797452 Send to PLC Delay Applied, 50 ms
00:05:13.279032 Send to PLC Delay Applied, 50 ms
00:05:13.814548 Send to PLC Delay Applied, 50 ms
00:05:14.343351 Send to PLC Delay Applied, 50 ms
00:05:14.874962 Send to PLC Delay Applied, 50 ms
00:05:14.925836 Send to PLC Delay Applied, 50 ms
00:05:15.405397 Send to PLC Delay Applied, 50 ms
00:05:15.939108 Send to PLC Delay Applied, 50 ms
00:05:16.470683 Send to PLC Delay Applied, 50 ms
00:05:16.521399 Send to PLC Delay Applied, 50 ms
00:05:17.004458 Send to PLC Delay Applied, 50 ms
00:05:17.055153 Send to PLC Delay Applied, 50 ms
00:05:17.535644 Send to PLC Delay Applied, 50 ms
00:05:18.064507 Send to PLC Delay Applied, 50 ms
00:05:18.115036 Send to PLC Delay Applied, 50 ms
00:05:18.595970 Send to PLC Delay Applied, 50 ms
00:05:18.646654 Send to PLC Delay Applied, 50 ms
00:05:19.126553 Send to PLC Delay Applied, 50 ms
00:05:19.663952 Send to PLC Delay Applied, 50 ms
00:05:20.194510 Send to PLC Delay Applied, 50 ms
00:05:20.720398 Send to PLC Delay Applied, 50 ms
00:05:20.770935 Send to PLC Delay Applied, 50 ms
00:05:21.254979 Send to PLC Delay Applied, 50 ms
00:05:21.792539 Send to PLC Delay Applied, 50 ms
00:05:22.318010 Send to PLC Delay Applied, 50 ms
00:05:22.852398 Send to PLC Delay Applied, 50 ms
00:05:23.385131 Send to PLC Delay Applied, 50 ms
00:05:23.437182 Send to PLC Delay Applied, 50 ms
00:05:23.914843 Send to PLC Delay Applied, 50 ms
00:05:24.447314 Send to PLC Delay Applied, 50 ms
00:05:24.983706 Send to PLC Delay Applied, 50 ms
00:05:25.513512 Send to PLC Delay Applied, 50 ms
00:05:26.043841 Send to PLC Delay Applied, 50 ms
00:05:26.577472 Send to PLC Delay Applied, 50 ms
00:05:26.628551 Send to PLC Delay Applied, 50 ms
00:05:27.107009 Send to PLC Delay Applied, 50 ms
00:05:27.639857 Send to PLC Delay Applied, 50 ms
00:05:28.174259 Send to PLC Delay Applied, 50 ms
00:05:28.694032 Send to PLC Delay Applied, 50 ms
00:05:29.234550 Send to PLC Delay Applied, 50 ms
00:05:29.764961 Send to PLC Delay Applied, 50 ms
00:05:30.298479 Send to PLC Delay Applied, 50 ms
00:05:30.822258 Send to PLC Delay Applied, 50 ms
00:05:31.364723 Send to PLC Delay Applied, 50 ms
00:05:31.416503 Send to PLC Delay Applied, 50 ms
00:05:31.891415 Send to PLC Delay Applied, 50 ms
00:05:32.426735 Send to PLC Delay Applied, 50 ms
00:05:32.960311 Send to PLC Delay Applied, 50 ms
00:05:33.010402 Send to PLC Delay Applied, 50 ms
00:05:33.485961 Send to PLC Delay Applied, 50 ms
00:05:34.018752 Send to PLC Delay Applied, 50 ms
00:05:34.547327 Send to PLC Delay Applied, 50 ms
00:05:34.598160 Send to PLC Delay Applied, 50 ms
00:05:35.084887 Send to PLC Delay Applied, 50 ms
00:05:35.135543 Send to PLC Delay Applied, 50 ms
00:05:35.619265 Send to PLC Delay Applied, 50 ms
00:05:36.159832 Send to PLC Delay Applied, 50 ms
00:05:36.674712 Send to PLC Delay Applied, 50 ms
00:05:36.725271 Send to PLC Delay Applied, 50 ms
00:05:37.212178 Send to PLC Delay Applied, 50 ms
00:05:37.262864 Send to PLC Delay Applied, 50 ms
00:05:37.740749 Send to PLC Delay Applied, 50 ms
00:05:38.270199 Send to PLC Delay Applied, 50 ms
00:05:38.321992 Send to PLC Delay Applied, 50 ms
00:05:38.801917 Send to PLC Delay Applied, 50 ms
00:05:38.853830 Send to PLC Delay Applied, 50 ms
00:05:39.343281 Send to PLC Delay Applied, 50 ms
00:05:39.871852 Send to PLC Delay Applied, 50 ms
00:05:39.923850 Send to PLC Delay Applied, 50 ms
00:05:40.395692 Send to PLC Delay Applied, 50 ms
00:05:40.933259 Send to PLC Delay Applied, 50 ms
00:05:40.984136 Send to PLC Delay Applied, 50 ms
00:05:41.462830 Send to PLC Delay Applied, 50 ms
00:07:14.956740 Send to PLC Delay Applied, 50 ms
00:07:16.325830 Send to PLC Delay Applied, 50 ms
00:07:17.195497 Send to PLC Delay Applied, 50 ms
00:07:17.246365 Send to PLC Delay Applied, 50 ms
00:07:17.879874 Send to PLC Delay Applied, 50 ms
00:07:18.468137 Send to PLC Delay Applied, 50 ms
00:07:19.001717 Send to PLC Delay Applied, 50 ms
00:07:19.052520 Send to PLC Delay Applied, 50 ms
00:07:19.536437 Send to PLC Delay Applied, 50 ms
00:07:20.068783 Send to PLC Delay Applied, 50 ms
00:07:20.119687 Send to PLC Delay Applied, 50 ms
00:07:20.603352 Send to PLC Delay Applied, 50 ms
00:07:21.130168 Send to PLC Delay Applied, 50 ms
00:07:21.180820 Send to PLC Delay Applied, 50 ms
00:07:21.660568 Send to PLC Delay Applied, 50 ms
00:07:22.194201 Send to PLC Delay Applied, 50 ms
00:07:22.723937 Send to PLC Delay Applied, 50 ms
00:07:23.261258 Send to PLC Delay Applied, 50 ms
00:07:23.784077 Send to PLC Delay Applied, 50 ms
00:07:23.834774 Send to PLC Delay Applied, 50 ms
00:07:24.323437 Send to PLC Delay Applied, 50 ms
00:07:24.857207 Send to PLC Delay Applied, 50 ms
00:07:25.386566 Send to PLC Delay Applied, 50 ms
00:07:25.437720 Send to PLC Delay Applied, 50 ms
00:07:25.916355 Send to PLC Delay Applied, 50 ms
00:07:26.442741 Send to PLC Delay Applied, 50 ms
00:07:26.980365 Send to PLC Delay Applied, 50 ms
00:07:27.511119 Send to PLC Delay Applied, 50 ms
00:07:27.561980 Send to PLC Delay Applied, 50 ms
00:07:28.043485 Send to PLC Delay Applied, 50 ms
00:07:28.094366 Send to PLC Delay Applied, 50 ms
00:07:28.575046 Send to PLC Delay Applied, 50 ms
00:07:29.105587 Send to PLC Delay Applied, 50 ms
00:07:29.639193 Send to PLC Delay Applied, 50 ms
00:07:30.176854 Send to PLC Delay Applied, 50 ms
00:07:30.703437 Send to PLC Delay Applied, 50 ms
00:07:31.233210 Send to PLC Delay Applied, 50 ms
00:07:31.284094 Send to PLC Delay Applied, 50 ms
00:07:31.769562 Send to PLC Delay Applied, 50 ms
00:07:32.302146 Send to PLC Delay Applied, 50 ms
00:07:32.828896 Send to PLC Delay Applied, 50 ms
00:07:33.360467 Send to PLC Delay Applied, 50 ms
00:07:33.411108 Send to PLC Delay Applied, 50 ms
00:07:33.897852 Send to PLC Delay Applied, 50 ms
00:07:34.424448 Send to PLC Delay Applied, 50 ms
00:07:34.959237 Send to PLC Delay Applied, 50 ms
00:07:35.010860 Send to PLC Delay Applied, 50 ms
00:07:35.488873 Send to PLC Delay Applied, 50 ms
00:07:36.019378 Send to PLC Delay Applied, 50 ms
00:07:36.549911 Send to PLC Delay Applied, 50 ms
00:07:37.086251 Send to PLC Delay Applied, 50 ms
00:07:37.613985 Send to PLC Delay Applied, 50 ms
00:07:37.664734 Send to PLC Delay Applied, 50 ms
00:07:38.145662 Send to PLC Delay Applied, 50 ms
00:07:38.677150 Send to PLC Delay Applied, 50 ms
00:07:38.730885 Send to PLC Delay Applied, 50 ms
00:07:39.217885 Send to PLC Delay Applied, 50 ms
00:07:39.751203 Send to PLC Delay Applied, 50 ms
00:07:40.281977 Send to PLC Delay Applied, 50 ms
00:08:18.107802 Send to PLC Delay Applied, 50 ms
00:08:18.158640 Send to PLC Delay Applied, 50 ms
00:08:19.690714 Send to PLC Delay Applied, 50 ms
00:08:19.741226 Send to PLC Delay Applied, 50 ms
00:08:20.603854 Send to PLC Delay Applied, 50 ms
00:08:21.315149 Send to PLC Delay Applied, 50 ms
00:08:21.913381 Send to PLC Delay Applied, 50 ms
00:08:22.453905 Send to PLC Delay Applied, 50 ms
00:08:22.989469 Send to PLC Delay Applied, 50 ms
00:08:23.511064 Send to PLC Delay Applied, 50 ms
00:08:23.561180 Send to PLC Delay Applied, 50 ms
00:08:24.046891 Send to PLC Delay Applied, 50 ms
00:08:24.582514 Send to PLC Delay Applied, 50 ms
00:08:25.114011 Send to PLC Delay Applied, 50 ms
00:08:25.781288 Send to PLC Delay Applied, 50 ms
00:08:31.800124 Send to PLC Delay Applied, 50 ms
00:08:31.851768 Send to PLC Delay Applied, 50 ms
00:08:32.989919 Send to PLC Delay Applied, 50 ms
00:08:33.799575 Send to PLC Delay Applied, 50 ms
00:08:34.456987 Send to PLC Delay Applied, 50 ms
00:08:34.507668 Send to PLC Delay Applied, 50 ms
00:08:35.028482 Send to PLC Delay Applied, 50 ms
00:08:35.565878 Send to PLC Delay Applied, 50 ms
00:08:35.615914 Send to PLC Delay Applied, 50 ms
00:08:36.094619 Send to PLC Delay Applied, 50 ms
00:08:36.627208 Send to PLC Delay Applied, 50 ms
00:08:37.155546 Send to PLC Delay Applied, 50 ms
00:08:37.205658 Send to PLC Delay Applied, 50 ms
00:08:37.689346 Send to PLC Delay Applied, 50 ms
00:08:37.740086 Send to PLC Delay Applied, 50 ms
00:08:38.228717 Send to PLC Delay Applied, 50 ms
00:08:38.280529 Send to PLC Delay Applied, 50 ms
00:08:38.761271 Send to PLC Delay Applied, 50 ms
00:08:39.284275 Send to PLC Delay Applied, 50 ms
00:08:39.815671 Send to PLC Delay Applied, 50 ms
00:08:39.866550 Send to PLC Delay Applied, 50 ms
00:08:40.354197 Send to PLC Delay Applied, 50 ms
00:08:40.886624 Send to PLC Delay Applied, 50 ms
00:08:40.937757 Send to PLC Delay Applied, 50 ms
00:08:41.415201 Send to PLC Delay Applied, 50 ms
00:08:41.466283 Send to PLC Delay Applied, 50 ms
00:08:41.944807 Send to PLC Delay Applied, 50 ms
00:08:42.480542 Send to PLC Delay Applied, 50 ms
00:08:42.531382 Send to PLC Delay Applied, 50 ms
00:08:43.005943 Send to PLC Delay Applied, 50 ms
00:08:43.543459 Send to PLC Delay Applied, 50 ms
00:08:43.593537 Send to PLC Delay Applied, 50 ms
00:08:44.077034 Send to PLC Delay Applied, 50 ms
00:08:44.611932 Send to PLC Delay Applied, 50 ms
00:08:45.131441 Send to PLC Delay Applied, 50 ms
00:08:46.002108 Send to PLC Delay Applied, 50 ms
00:08:46.733179 Send to PLC Delay Applied, 50 ms
00:08:47.262621 Send to PLC Delay Applied, 50 ms
00:08:47.794349 Send to PLC Delay Applied, 50 ms
00:08:48.330691 Send to PLC Delay Applied, 50 ms
00:08:48.855305 Send to PLC Delay Applied, 50 ms
00:08:48.905365 Send to PLC Delay Applied, 50 ms
00:08:49.387910 Send to PLC Delay Applied, 50 ms
00:08:50.059277 Send to PLC Delay Applied, 50 ms
00:08:50.110210 Send to PLC Delay Applied, 50 ms
00:10:00.075861 Send to PLC Delay Applied, 50 ms
00:10:01.257977 Send to PLC Delay Applied, 50 ms
00:10:02.069429 Send to PLC Delay Applied, 50 ms
00:10:02.726640 Send to PLC Delay Applied, 50 ms
00:10:02.777735 Send to PLC Delay Applied, 50 ms
00:10:03.295393 Send to PLC Delay Applied, 50 ms
00:10:03.832885 Send to PLC Delay Applied, 50 ms
00:10:03.883574 Send to PLC Delay Applied, 50 ms
00:10:04.367228 Send to PLC Delay Applied, 50 ms
00:10:04.901102 Send to PLC Delay Applied, 50 ms
00:10:05.428381 Send to PLC Delay Applied, 50 ms
00:10:05.479287 Send to PLC Delay Applied, 50 ms
00:10:05.964209 Send to PLC Delay Applied, 50 ms
00:10:06.492719 Send to PLC Delay Applied, 50 ms
00:10:07.028411 Send to PLC Delay Applied, 50 ms
00:10:07.553748 Send to PLC Delay Applied, 50 ms
00:10:08.091301 Send to PLC Delay Applied, 50 ms
00:10:08.621879 Send to PLC Delay Applied, 50 ms
00:10:09.153481 Send to PLC Delay Applied, 50 ms
00:10:09.204382 Send to PLC Delay Applied, 50 ms
00:10:09.683057 Send to PLC Delay Applied, 50 ms
00:10:10.218820 Send to PLC Delay Applied, 50 ms
00:10:10.269550 Send to PLC Delay Applied, 50 ms
00:10:10.750401 Send to PLC Delay Applied, 50 ms
00:10:10.801047 Send to PLC Delay Applied, 50 ms
00:10:11.277014 Send to PLC Delay Applied, 50 ms
00:10:11.811339 Send to PLC Delay Applied, 50 ms
00:10:11.862306 Send to PLC Delay Applied, 50 ms
00:10:12.345969 Send to PLC Delay Applied, 50 ms
00:10:12.876707 Send to PLC Delay Applied, 50 ms
